GENOTYPE,d.T3.x,g.T3.x,a.T3.x,d.T.x,g.T.x,a.T.x,Total.Tocotrienols.x,Total.Tocopherols.x,Total.Tocochromanols.x,d.T3.y,g.T3.y,a.T3.y,d.T.y,g.T.y,a.T.y,Total.Tocotrienols.y,Total.Tocopherols.y,Total.Tocochromanols.y
CIze38,3.819975375,30.85624359,4.60124016,2.165836711,60.2973922,3.001991179,38.82408779,65.38615177,104.8940326,3.819975375,32.648278317,4.60124016,2.495735738,61.616559254,4.788953134,38.82408779,65.38615177,104.8940326
CIze40,0.542074321,12.43386742,5.403832255,1.092687858,60.7908616,6.369006386,18.27865412,68.52252811,87.23730552,0.542074321,14.225902147,5.403832255,1.422586885,62.110028654,8.155968341,18.27865412,68.52252811,87.23730552
CIze42,2.143411532,20.9119835,10.23312714,7.650236773,62.40593793,8.063779562,33.41196765,78.92916482,112.8702827,2.143411532,22.704018227,10.23312714,7.9801358,63.725104984,9.850741517,33.41196765,78.92916482,112.8702827
CIze45,1.978649808,19.63630528,15.53285765,0.428065484,17.86347755,5.895602957,37.12412225,24.360158,61.95431549,1.978649808,21.428340007,15.53285765,0.757964511,19.182644604,7.682564912,37.12412225,24.360158,61.95431549
CIze49,0.907038737,23.98744119,4.832769346,1.173206501,21.4067359,1.830356987,29.93737463,24.51010875,54.90869428,0.907038737,25.779475917,4.832769346,1.503105528,22.725902954,3.617318942,29.93737463,24.51010875,54.90869428
CIze64,0.849935425,21.01245455,10.00383436,0.384176155,12.15956608,4.12688957,32.15432338,16.80438578,48.9705218,0.849935425,22.804489277,10.00383436,0.714075182,13.478733134,5.913851525,32.15432338,16.80438578,48.9705218
CIze81,1.55535759,19.91341493,12.43889616,0.463479529,26.25061695,13.75704992,34.03402813,40.54079028,75.16825699,1.55535759,21.705449657,12.43889616,0.793378556,27.569784004,15.544011875,34.03402813,40.54079028,75.16825699
CIze82,0.804840622,20.62658982,6.490076387,0.59491872,35.58525261,5.064480245,27.70631146,41.31042131,69.45708701,0.804840622,22.418624547,6.490076387,0.924817747,36.904419664,6.8514422,27.70631146,41.31042131,69.45708701
CIze83,0.693534565,4.099006627,8.437003556,1.009910989,47.99302162,9.935152982,13.48383747,58.9967267,72.60418213,0.693534565,5.891041354,8.437003556,1.339810016,49.312188674,11.722114937,13.48383747,58.9967267,72.60418213
CIze85,1.33155465,29.882461,4.302255654,1.138540507,43.87191615,4.564872451,35.83694108,49.33442548,85.25359336,1.33155465,31.674495727,4.302255654,1.468439534,45.191083204,6.351834406,35.83694108,49.33442548,85.25359336
CIze86,0.047211596,2.255040575,3.32689368,1.078338706,48.20603254,3.884944856,5.62421382,53.01864843,58.72500606,0.047211596,4.047075302,3.32689368,1.408237733,49.525199594,5.671906811,5.62421382,53.01864843,58.72500606
CIze89,1.034428303,23.54513325,5.280478493,1.62667609,30.89108489,1.405633377,29.83770807,33.87996173,63.64755801,1.034428303,25.337167977,5.280478493,1.956575117,32.210251944,3.192595332,29.83770807,33.87996173,63.64755801
CIze90,1.204510567,19.94007572,10.5297042,1.989971501,41.99240484,6.696769041,31.87907737,50.63674801,82.38230545,1.204510567,21.732110447,10.5297042,2.319870528,43.311571894,8.483730996,31.87907737,50.63674801,82.38230545
CIze91,1.917854975,25.81895359,10.29570296,2.653573525,47.15322459,4.267487963,38.312371,54.08493349,92.23316029,1.917854975,27.610988317,10.29570296,2.983472552,48.472391644,6.054449918,38.312371,54.08493349,92.23316029
NSL117226,1.873725504,23.76224859,6.652170226,1.937057968,85.5678986,9.903896779,32.48266808,97.87298511,131.1886871,1.873725504,25.554283317,6.652170226,2.266956995,86.887065654,11.690858734,32.48266808,97.87298511,131.1886871
NSL174429,0.210830896,6.601646915,8.419674059,0.739676671,31.29077552,14.4092358,15.33591316,46.20467968,62.35146253,0.210830896,8.393681642,8.419674059,1.069575698,32.609942574,16.196197755,15.33591316,46.20467968,62.35146253
NSL197104,1.150515428,14.77513123,7.374687818,0.659783187,37.01995889,2.228706131,23.36062756,40.29370517,64.19913092,1.150515428,16.567165957,7.374687818,0.989682214,38.339125944,4.015668086,23.36062756,40.29370517,64.19913092
NSL197105,0.15157771,2.735542276,8.353679387,2.457910065,37.49886927,4.299232645,11.38011943,43.86566521,55.82745164,0.15157771,4.527577003,8.353679387,2.787809092,38.818036324,6.0861946,11.38011943,43.86566521,55.82745164
NSL197106,2.378127991,24.90367317,11.5588129,2.878801383,57.90581357,12.58741242,38.95154609,73.46669903,112.5022914,2.378127991,26.695707897,11.5588129,3.20870041,59.224980624,14.374374375,38.95154609,73.46669903,112.5022914
NSL22628,0.131251459,6.825336768,7.272953568,1.061088366,36.73740628,1.836265622,14.270567,39.09662366,53.89792736,0.131251459,8.617371495,7.272953568,1.390987393,38.056573334,3.623227577,14.270567,39.09662366,53.89792736
NSL22629,0.872796635,33.14302404,5.814902229,4.194807361,58.24619716,1.014852818,39.49319706,63.26413293,103.3487614,0.872796635,34.935058767,5.814902229,4.524706388,59.565364214,2.801814773,39.49319706,63.26413293,103.3487614
NSL22630,1.755385793,35.94541534,4.891635423,1.838707508,60.49679745,0.336455543,42.62763217,62.52434678,105.105751,1.755385793,37.737450067,4.891635423,2.168606535,61.815964504,2.123417498,42.62763217,62.52434678,105.105751
NSL22631,0.179055518,1.720778732,5.231167561,2.187148985,44.73779995,13.8317844,6.088522943,60.81616253,67.26223887,0.179055518,3.512813459,5.231167561,2.517048012,46.056967004,15.618746355,6.088522943,60.81616253,67.26223887
NSL22632,0.461437117,5.892250411,10.41701416,0.925348286,43.30151206,6.834524759,16.81171445,51.14019746,68.09847125,0.461437117,7.684285138,10.41701416,1.255247313,44.620679114,8.621486714,16.81171445,51.14019746,68.09847125
NSL22633,0.533789594,19.74315964,5.865687436,1.881994484,54.1676478,0.272641546,26.00761712,55.9577981,81.71813091,0.533789594,21.535194367,5.865687436,2.211893511,55.486814854,2.059603501,26.00761712,55.9577981,81.71813091
NSL22634,1.478096891,38.73791653,4.292158728,1.198791596,20.77151189,2.079327847,44.34366213,24.07776986,68.59058001,1.478096891,40.529951257,4.292158728,1.528690623,22.090678944,3.866289802,44.34366213,24.07776986,68.59058001
NSL22635,1.238880561,24.38784262,16.66042696,0.358381108,15.00176492,14.59933063,42.44642609,30.01013765,73.30428966,1.238880561,26.179877347,16.66042696,0.688280135,16.320931974,16.386292585,42.44642609,30.01013765,73.30428966
