"ID","Pedigree","Comments"
"NSL 437937","AusTRCF 306242","other"
"NSL 437939","AusTRCF 306244","other"
"NSL 437940","AusTRCF 306245","other"
"NSL 437946","AusTRCF 306257","other"
"NSL 437947","AusTRCF 306258","other"
"NSL 437952","AusTRCF 306264","other"
"NSL 437956","AusTRCF 306269","other"
"NSL 437959","AusTRCF 306273","other"
"NSL 437960","AusTRCF 306274","other"
"NSL 437962","AusTRCF 306276","other"
"NSL 437964","AusTRCF 306278","other"
"NSL 437966","AusTRCF 306280","other"
"NSL 437968","AusTRCF 306282","other"
"NSL 437971","AusTRCF 306285","other"
"NSL 437973","AusTRCF 306287","other"
"NSL 437976","AusTRCF 306290","other"
"NSL 437979","AusTRCF 306293","other"
"NSL 437980","AusTRCF 306294","other"
"NSL 437981","AusTRCF 306295","other"
"NSL 437982","AusTRCF 306296","other"
"NSL 437983","AusTRCF 306297","other"
"NSL 437987","AusTRCF 306301","other"
"NSL 437990","AusTRCF 306304","other"
"NSL 437992","AusTRCF 306306","other"
"NSL 437993","AusTRCF 306307","other"
"NSL 437995","AusTRCF 306309","other"
"NSL 437998","AusTRCF 306312","other"
"NSL 438002","AusTRCF 306316","other"
"NSL 438005","AusTRCF 306319","other"
"NSL 438007","AusTRCF 306321","other"
"NSL 438008","AusTRCF 306322","other"
"NSL 438009","AusTRCF 306323","other"
"NSL 438010","AusTRCF 306324","other"
"NSL 438019","AusTRCF 306333","other"
"NSL 438021","AusTRCF 306335","other"
"NSL 438022","AusTRCF 306336","other"
"NSL 438023","AusTRCF 306337","other"
"NSL 438029","AusTRCF 306343","other"
"NSL 438030","AusTRCF 306344","other"
"NSL 438031","AusTRCF 306345","other"
"NSL 438032","AusTRCF 306346","other"
"NSL 438033","AusTRCF 306347","other"
"NSL 438034","AusTRCF 306348","other"
"NSL 438036","AusTRCF 306350","other"
"NSL 438037","AusTRCF 306351","other"
"NSL 438038","AusTRCF 306352","other"
"NSL 438039","AusTRCF 306353","other"
"NSL 438040","AusTRCF 306354","other"
"NSL 438042","AusTRCF 306356","other"
"NSL 438043","AusTRCF 306357","other"
"NSL 52605","Oh7K","other"
"NSL 53086","SC 212M","other"
"NSL 53094","SC 357","other"
"NSL 53095","SC 359","other"
"NSL 65863","B7","other"
"NSL 65864","B8","other"
"NSL 65866","B14","other"
"NSL 65868","B21","other"
"NSL 65869","B38","other"
"NSL 65871","I 205","other"
"NSL 65872","L 289","other"
"NSL 65873","L317","other"
"NSL 65874","Os420","other"
"NSL 67786","Mo301ae","other"
"NSL 67788","Mo303ae","other"
"NSL 67789","Mo304ae","other"
"NSL 67790","Mo305ae","other"
"NSL 67792","Mo307ae","other"
"NSL 67793","Mo308ae","other"
"NSL 67796","Mo311ae","other"
"NSL 67797","Mo312ae","other"
"NSL 67798","Mo313ae","other"
"NSL 67799","Mo314ae","other"
"NSL 68211","Oh422","other"
"NSL 68242","SC 212M","other"
"NSL 68252","SC 357","other"
"NSL 75976","IA DS 61","popcorn"
"NSL 75977","IA DS 62","popcorn"
"NSL 75979","SG 18","popcorn"
"NSL 75980","SG 30A","popcorn"
"NSL 81595","A238","other"
"NSL 81596","A258","other"
"NSL 81597","A648","other"
"NSL 81598","A657","other"
"NSL 81599","A659","other"
"NSL 81600","A660","other"
"NSL 8579","245","sweet corn"
"NSL 8581","81-1","sweet corn"
"NSL 8582","P51B","sweet corn"
"NSL 8583","P39A","sweet corn"
"NSL 8585","P39","sweet corn"
"PI 186182","INBRED 378","other"
"PI 186183","INBRED 379","other"
"PI 186184","INBRED 381","other"
"PI 186193","INBRED A-243-1","other"
"PI 186196","INBRED 109","other"
"PI 186197","INBRED 100","other"
"PI 186199","INBRED 141","other"
"PI 186215","INBRED 2-687","other"
"PI 186217","INBRED 19-86","other"
"PI 186218","INBRED 34-1141","other"
"PI 186219","INBRED 34-1181","other"
"PI 186223","INBRED 41-1781","other"
"PI 186224","INBRED 42-492","other"
"PI 186226","INBRED 305","other"
"PI 186227","INBRED 309","other"
"PI 186229","INBRED 321","other"
"PI 198889","4F-182 BS 11","other"
"PI 198892","4F-234 BX 4","other"
"PI 198893","4F-240 BX 16","other"
"PI 198894","4F-259 HQ","other"
"PI 198895","4F-285 TX 15","other"
"PI 198896","4F-300 AD 3","other"
"PI 198901","4F-342 CM 4","other"
"PI 198902","4F-345 CN 12","other"
"PI 198906","4F-403 JV 15","other"
"PI 200179","NY 3 (Neveh Yaar)","other"
"PI 200181","NY 65 (Neveh Yaar)","other"
"PI 200182","NY 159 (Neveh Yaar)","other"
"PI 200184","NY 166 (Neveh Yaar)","other"
"PI 200185","NY 188 (Neveh Yaar)","other"
"PI 200187","NY 318 (Nevey Yaar)","other"
"PI 200188","NY 364 (Neveh Yaar)","other"
"PI 200191","NY 476 (Neveh Yaar)","other"
"PI 200194","NY 971 (Neveh Yaar)","other"
"PI 200195","NY 992 (Neveh Yaar)","other"
"PI 221733","A13-2 INBRED (POTCHEFSTROOM PEARL)","other"
"PI 221734","A14 INBRED (POTCHEFSTROOM PEARL)","other"
"PI 221735","A15-1 INBRED (POTCHEFSTROOM PEARL)","other"
"PI 221736","A16-3-2 INBRED (POTCHEFSTROOM PEARL)","other"
"PI 221739","A21-4-1 INBRED (HICKORY KING)","other"
"PI 221743","N72-3-1-1 INBRED","other"
"PI 221747","E205-1-1-1 INBRED (S5 SYN. ANVELD)","other"
"PI 221750","E292-1-1-1 INB(S5 SYN ANVELD X MINN.706)","other"
"PI 221773","A415-1-3 INBRED","other"
"PI 221775","A436-1 INBRED","other"
"PI 221788","E680-2-1-3(S5) INBRED","other"
"PI 221789","E683-1-2-1(S5) INBRED","other"
"PI 221811","A302-1-2(S10) INBRED (SERVENTINA)","other"
"PI 221820","C410-1(F11) INBRED (HOTNOT CROSSES)","other"
"PI 233312","42","sweet corn"
"PI 233313","176","sweet corn"
"PI 233314","226","sweet corn"
"PI 233315","277","sweet corn"
"PI 233316","469","sweet corn"
"PI 233317","592","sweet corn"
"PI 233318","789","sweet corn"
"PI 233319","829","sweet corn"
"PI 233320","883","sweet corn"
"PI 233321","908","sweet corn"
"PI 233322","909","sweet corn"
"PI 236997","Inbred 6-907","other"
"PI 257506","F2","other"
"PI 257507","F7","other"
"PI 257508","F10","other"
"PI 257513","F115","other"
"PI 257514","FV181","other"
"PI 257516","F39","other"
"PI 267166","2 KM 368 INBRED","other"
"PI 267167","T8144 INBRED","other"
"PI 267168","T8146 INBRED","other"
"PI 267169","T8302 INBRED","other"
"PI 267170","T8354 INBRED","other"
"PI 267171","T8445 INBRED","other"
"PI 270297","B96","other"
"PI 303924","NO. 380","other"
"PI 303925","NO. 1004 INBRED","other"
"PI 303926","NO. 1019 INBRED","other"
"PI 303927","NO. 1026 INBRED","other"
"PI 303928","NO. 1032 INBRED","other"
"PI 303930","NO. 1049 INBRED","other"
"PI 303932","NO. 1068 INBRED","other"
"PI 303933","NO. 1070 INBRED","other"
"PI 303937","NO. 1175 INBRED","other"
"PI 303938","NO. 1185 INBRED","other"
"PI 303939","NO. 1197 INBRED","other"
"PI 303941","NO. 1266 INBRED","other"
"PI 303943","TN 53-1-2","other"
"PI 340812","NY 121 (Neveh Yaar)","other"
"PI 340817","G3 T5","other"
"PI 340818","G3 T5a","other"
"PI 340819","T9","other"
"PI 340821","G22 T122","other"
"PI 340822","G6 T123","other"
"PI 340824","G15 T134","other"
"PI 340825","G15 T134a","other"
"PI 340826","T140","other"
"PI 340827","T141","other"
"PI 340829","T146","other"
"PI 340830","T242","other"
"PI 340835","BR-1-1","popcorn"
"PI 340837","R-4524","popcorn"
"PI 340838","B-4541","other"
"PI 340841","B-15 DENT STERILE","popcorn"
"PI 340843","CA-15-2 DENT STERILE","other"
"PI 340844","R-15 DENT STERILE","popcorn"
"PI 340845","BR-15 DENT STERILE","popcorn"
"PI 340846","RB-15 DENT STERILE","popcorn"
"PI 340850","B-17 INBR.FR.SUPERGOLD","popcorn"
"PI 340851","BR-17 INBR.FR.SUPERGOLD","popcorn"
"PI 340853","R-17 INBR.FR.SUPERGOLD","popcorn"
"PI 340854","RB-17 INBR.FR.SUPERGOLD","popcorn"
"PI 340855","B-18 INBR.FR.SUPERGOLD","popcorn"
"PI 340856","R-18 INBR.FR.SUPERGOLD","popcorn"
"PI 340857","B-22 INBR.FR.SUPERGOLD","popcorn"
"PI 340859","R-22 INBR.FR.SUPERGOLD","popcorn"
"PI 340860","B-28","other"
"PI 340861","BR-28 INBR.FR.YEL.PEARL","other"
"PI 340862","R-28","other"
"PI 340863","R-28-2","other"
"PI 340866","R-53-1 INBR.FR.YELPEARL","popcorn"
"PI 340867","R-53-2 INBR.FR.YELPEARL","other"
"PI 340868","RB-53 INBR.FR.YELPEARL","popcorn"
"PI 340869","R-PAH-1 IN.FR.TOM-THUMB","popcorn"
"PI 340870","R-PAH-2","popcorn"
"PI 340872","R-PAH-1","popcorn"
"PI 340874","IA DS 38-W","popcorn"
"PI 340875","IA DS 43-W","popcorn"
"PI 340876","IA DS 53","popcorn or sweet corn"
"PI 340878","IA 88","other"
"PI 343953","PLS 61/10870 subline-1","other"
"PI 358522","13B-587-68(A)","sweet corn"
"PI 358523","14H-588-68(B)","sweet corn"
"PI 358525","27A-317-68(C)","sweet corn"
"PI 358527","STRAIN 304A-408-68(B)","sweet corn"
"PI 358528","442A-431-68(D)","sweet corn"
"PI 358529","STRAIN 451B-4-68(B)","sweet corn"
"PI 358530","STRAIN 465A-421-68(B)","sweet corn"
"PI 358532","676A-348-68(B)","sweet corn"
"PI 358533","STRAIN T36(101T)-394-68","sweet corn"
"PI 358534","STRAIN T20-2-68(B)","sweet corn"
"PI 358535","21-396-68(B)","sweet corn"
"PI 358536","STRAIN T24-395-68(B)","sweet corn"
"PI 358538","STRAIN T33-399-68(B)","sweet corn"
"PI 358539","STRAIN T35-388-68(A)","sweet corn"
"PI 369437","80-2","other"
"PI 369438","K 10","other"
"PI 369439","S 14","other"
"PI 369442","S 48","other"
"PI 369443","S 61","other"
"PI 369446","U 123","other"
"PI 391414","PH 9","other"
"PI 391660","CHI-41","other"
"PI 391662","KUNG-70","other"
"PI 391663","T IEH 84","other"
"PI 391665","YING-55","other"
"PI 391667","CHI-503","other"
"PI 391670","NIU 11","other"
"PI 391672","YANG","other"
"PI 391676","TUO 229","other"
"PI 391678","TZU-CHIAO-HSI-WU 105","other"
"PI 391680","WU-TAN-TZAO","other"
"PI 391682","YE-CHI-HUNG","other"
"PI 405705","CHAN 11 INBRED","other"
"PI 405706","CHI-69 INB.","other"
"PI 405707","HUA 94 INBRED","other"
"PI 405709","TANG CHAO INBRED","other"
"PI 405711","BAI TOU SHUANG IN.(JI 095","other"
"PI 405712","DA BA TANG INB. (JI 0241)","other"
"PI 405713","DA JIN DING (JI 0018)","other"
"PI 405714","HUO BAO MI (JI 0235)","other"
"PI 406106","A14NW","other"
"PI 406107","A57N","other"
"PI 406108","A98NW","other"
"PI 406109","A166N","other"
"PI 406110","A178N","other"
"PI 406113","A266N","other"
"PI 406115","A328NW","other"
"PI 406122","A564N","other"
"PI 406123","A579N","other"
"PI 406124","A622N","other"
"PI 415078","4533. INBRED","other"
"PI 415079","4537. INBRED","other"
"PI 415080","4550. INBRED","other"
"PI 415081","4554. INBRED","other"
"PI 415082","4554 INBRED","other"
"PI 415083","4562 INBRED","other"
"PI 415084","4564 INBRED","other"
"PI 415085","4566 INBRED","other"
"PI 415086","4578 INBRED","other"
"PI 415087","4580 INBRED","other"
"PI 415088","4581 INBRED","other"
"PI 415089","4655 INBRED","other"
"PI 415090","4659 INBRED","other"
"PI 415091","4664 INBRED","other"
"PI 427109","Eng-li Chih","other"
"PI 427111","Chi-tan 120","other"
"PI 433485","Prior A","other"
"PI 433486","Prior B","other"
"PI 433487","Prior C","other"
"PI 459078","Honan no. 7","other"
"PI 459080","Hwang no. 525","other"
"PI 459082","Shansi no. 60","other"
"PI 506254","Tzi 24","other"
"PI 506255","Tzi 25","other"
"PI 506411","M6411","sweet corn"
"PI 506412","M6415","sweet corn"
"PI 508277","SD42","other"
"PI 509045","T62S","sweet corn"
"PI 509046","T64S","sweet corn"
"PI 509542","B89","other"
"PI 510674","ND261","other"
"PI 511309","NC252","other"
"PI 511310","NC254","other"
"PI 511313","GT113","other"
"PI 517968","Pa392","other"
"PI 517972","Pa877","other"
"PI 517973","Pa879","other"
"PI 517974","Pa880","other"
"PI 518660","SD43","other"
"PI 520770","W552","other"
"PI 520771","W570","other"
"PI 520772","W572","other"
"PI 520774","NC264","other"
"PI 522250","ND262","other"
"PI 522252","ND264","other"
"PI 524969","SD44","other"
"PI 524970","SD46","other"
"PI 527699","B90","other"
"PI 527700","B91","other"
"PI 531081","Pa356","other"
"PI 531083","Pa891","other"
"PI 531084","NC258","other"
"PI 531085","NC262","other"
"PI 531509","R225","other"
"PI 531510","R226","other"
"PI 531511","R227","other"
"PI 533658","SD101","other"
"PI 535901","S 3","other"
"PI 535906","S 56","other"
"PI 535913","S 17","other"
"PI 535914","S 22","other"
"PI 535916","S 37","other"
"PI 535917","S 51","other"
"PI 535919","S 59A","other"
"PI 535920","S 63","other"
"PI 535921","S 65","other"
"PI 535923","S 90","other"
"PI 535924","S 97","other"
"PI 535925","S 99","other"
"PI 535926","S 117","other"
"PI 535927","S 125","other"
"PI 537097","LH195","other"
"PI 537099","LH205","other"
"PI 538007","LH127","other"
"PI 538008","LH163","other"
"PI 538009","LH196","other"
"PI 538010","LH206","other"
"PI 538011","LH220Ht","other"
"PI 538229","SD53","other"
"PI 538231","SD59","other"
"PI 538235","SD57","other"
"PI 538237","SD63","other"
"PI 538238","SD65","other"
"PI 538239","SD69","other"
"PI 538242","SD106","other"
"PI 538244","SD108","other"
"PI 539870","B92","other"
"PI 539871","B93","other"
"PI 539920","LH160","other"
"PI 539921","LH162","other"
"PI 539922","LH190","other"
"PI 539923","LH194","other"
"PI 539924","LH202","other"
"PI 539925","LH191","other"
"PI 539926","LH192","other"
"PI 539927","LH193","other"
"PI 539930","RS 710","other"
"PI 542715","NP86","popcorn"
"PI 542716","NP87","popcorn"
"PI 542776","HP62-02","popcorn"
"PI 542937","Ab18","other"
"PI 542938","Ab610","other"
"PI 542953","T264","other"
"PI 542955","Va4","other"
"PI 542957","Va6","other"
"PI 542959","Va33","other"
"PI 543840","PHJ65","other"
"PI 543843","PHN34","other"
"PI 543846","PHP76","other"
"PI 543847","PHV07","other"
"PI 543849","PHW51","other"
"PI 543850","PHW86","other"
"PI 544065","BCC03","other"
"PI 546482","FBLA","other"
"PI 546483","6F629","other"
"PI 546484","6M502A","other"
"PI 546485","NL001","other"
"PI 546494","ND265","other"
"PI 547086","LH128","other"
"PI 547087","LH181","other"
"PI 547088","LH208","other"
"PI 547089","LH212Ht","other"
"PI 547090","LH213","other"
"PI 547107","Lp215D","other"
"PI 548783","T171","other"
"PI 548794","ND266","other"
"PI 548798","PHJ89","other"
"PI 548799","PHJ90","other"
"PI 548800","PHK93","other"
"PI 548801","PHM81","other"
"PI 548802","PHN66","other"
"PI 548804","PHR55","other"
"PI 548805","PHR58","other"
"PI 548808","PHW30","other"
"PI 548830","29MIBZ2","other"
"PI 548839","MBUB","other"
"PI 550440","B64","other"
"PI 550442","Mo20W","other"
"PI 550443","B49","other"
"PI 550454","B52","other"
"PI 550455","B67","other"
"PI 550456","B69","other"
"PI 550461","B14A","other"
"PI 550462","B59","other"
"PI 550463","B65","other"
"PI 550464","B66","other"
"PI 550465","B68","other"
"PI 550467","B37","other"
"PI 550468","B45","other"
"PI 550469","B46","other"
"PI 550470","B54","other"
"PI 550471","B56","other"
"PI 550472","B57","other"
"PI 550483","B76","other"
"PI 550489","ND245","other"
"PI 550490","ND246","other"
"PI 550491","ND301","other"
"PI 550492","GTS1","sweet corn"
"PI 550496","H102","other"
"PI 550497","H103","other"
"PI 550503","ND247","other"
"PI 550504","ND248","other"
"PI 550514","T61","other"
"PI 550515","T101","other"
"PI 550517","T115","other"
"PI 550520","T224","other"
"PI 550521","T226","other"
"PI 550522","T232","other"
"PI 550526","H110","other"
"PI 550527","H111","other"
"PI 550530","ND249","other"
"PI 550531","ND250","other"
"PI 550532","ND251","other"
"PI 550540","ND252","other"
"PI 550541","ND253","other"
"PI 550542","ND254","other"
"PI 550552","ND304W","other"
"PI 550553","ND101","other"
"PI 550554","ND256","other"
"PI 550555","NC250","other"
"PI 550556","B88","other"
"PI 550558","DE811","other"
"PI 550561","ND257","other"
"PI 550565","N190","other"
"PI 550566","N192","other"
"PI 550567","N193","other"
"PI 550568","N194","other"
"PI 550571","ND259","other"
"PI 550573","ND260","other"
"PI 550695","L 155","other"
"PI 550909","89291","other"
"PI 550918","88069","other"
"PI 552815","LH215","other"
"PI 553055","OC2","other"
"PI 553056","OC3","other"
"PI 553057","OC4","other"
"PI 553058","OC5","other"
"PI 553060","OC7","other"
"PI 553061","OC8","other"
"PI 553062","OC9","popcorn"
"PI 553063","OC10","other"
"PI 553064","OC11","other"
"PI 554612","LH209","other"
"PI 554615","MM402A","other"
"PI 554616","3IBZ2","other"
"PI 555650","LIBC 4","other"
"PI 555651","83IBI3","other"
"PI 555660","LH214","other"
"PI 558516","Mo7","other"
"PI 558517","Mo10","other"
"PI 558518","Mo15W","other"
"PI 558521","Mo2RF","other"
"PI 558522","Mo3","other"
"PI 558524","Mo6","other"
"PI 558526","Mo9W","other"
"PI 558527","Mo11","other"
"PI 558530","Mo14W","other"
"PI 558531","Mo16W","other"
"PI 558532","Mo17","other"
"PI 559375","LH222","other"
"PI 559380","ICI 193","other"
"PI 559381","ICI 441","other"
"PI 559382","ICI 740","other"
"PI 559383","ICI 893","other"
"PI 559916","CS405","other"
"PI 559918","NQ508","other"
"PI 559919","OQ101","other"
"PI 559920","OQ403","other"
"PI 559921","OS602","other"
"PI 559935","PHBA6","other"
"PI 559944","PHP85","other"
"PI 559945","PHPR5","other"
"PI 559946","PHR30","other"
"PI 559949","PHT69","other"
"PI 559952","PHV53","other"
"PI 559953","PHVA9","other"
"PI 559954","PHWG5","other"
"PI 560074","Pa759","other"
"PI 560075","Pa760","other"
"PI 560081","Pa778","other"
"PI 560082","Pa860","other"
"PI 560316","CS608","other"
"PI 561516","AR204","other"
"PI 561523","AR234","other"
"PI 561526","AR250","other"
"PI 561527","AR254","other"
"PI 561529","AR266","other"
"PI 561533","AR276","other"
"PI 561565","B95","other"
"PI 561604","90176","other"
"PI 561694","NYRD4058","other"
"PI 561695","NYLB31","other"
"PI 564682","B97","other"
"PI 564852","B101","other"
"PI 567792","A684su","sweet corn"
"PI 567793","A685su","sweet corn"
"PI 567794","A686su","sweet corn"
"PI 568158","N199","other"
"PI 568159","N200","other"
"PI 572413","Oh599","other"
"PI 573098","Oh603","other"
"PI 583350","Mo45","other"
"PI 583351","Mo46","other"
"PI 583352","Mo47","other"
"PI 583774","ML606","other"
"PI 583846","H126W","other"
"PI 583847","H125","other"
"PI 584528","B99","other"
"PI 584529","B100","other"
"PI 587124","CM105","other"
"PI 587125","CO109","other"
"PI 587126","C13","sweet corn"
"PI 587127","H105W","other"
"PI 587128","H84","other"
"PI 587129","H99","other"
"PI 587130","4722","other"
"PI 587131","HP301","popcorn"
"PI 587132","Sg 1533","popcorn"
"PI 587133","P39","sweet corn"
"PI 587134","IA2132","sweet corn"
"PI 587135","Ia5125","sweet corn"
"PI 587137","Ms71","other"
"PI 587138","A554","other"
"PI 587139","A619","other"
"PI 587140","A632","other"
"PI 587141","A654","other"
"PI 587142","A679","other"
"PI 587143","A682","other"
"PI 587144","Mo24W","other"
"PI 587147","Pa91","other"
"PI 587149","Va26","other"
"PI 587150","Va35","other"
"PI 587151","Va102","other"
"PI 587152","W64A","other"
"PI 587153","W117","other"
"PI 587154","W153R","other"
"PI 587155","W182BN","other"
"PI 591014","BO385Y","other"
"PI 591022","BO46W","other"
"PI 592733","R228","other"
"PI 592735","R230","other"
"PI 592741","N801w","other"
"PI 593007","Hi25","other"
"PI 593010","Hi28","other"
"PI 593011","Hi29","other"
"PI 593013","Hi31","other"
"PI 593014","Hi33","other"
"PI 593017","Hi39","other"
"PI 593460","991","other"
"PI 594045","B102","other"
"PI 594046","B103","other"
"PI 594047","B104","other"
"PI 594048","B105","other"
"PI 594049","B106","other"
"PI 594050","N501","other"
"PI 594051","N502","other"
"PI 594052","N503","other"
"PI 594053","N504","other"
"PI 594054","N505","other"
"PI 594055","N506","other"
"PI 594056","N507","other"
"PI 594057","N508","other"
"PI 594058","N509","other"
"PI 594059","N510","other"
"PI 594060","N511","other"
"PI 594061","N512","other"
"PI 594062","N513","other"
"PI 594063","N514","other"
"PI 594064","N515","other"
"PI 594065","N516","other"
"PI 594066","N517","other"
"PI 594067","N518","other"
"PI 594068","N519","other"
"PI 594069","N520","other"
"PI 594070","N521","other"
"PI 594071","N523","other"
"PI 594072","N524","other"
"PI 594073","N525","other"
"PI 594074","N526","other"
"PI 594075","N528","other"
"PI 594076","N529","other"
"PI 594077","N530","other"
"PI 594078","N532","other"
"PI 594079","N533","other"
"PI 594080","N534","other"
"PI 594081","N535","other"
"PI 594082","N536","other"
"PI 594083","N537","other"
"PI 594084","N538","other"
"PI 594085","N539","other"
"PI 594086","N540","other"
"PI 594087","N541","other"
"PI 594088","N542","other"
"PI 594089","N543","other"
"PI 594090","N544","other"
"PI 594091","N545","other"
"PI 595366","N209","other"
"PI 595367","N215","other"
"PI 595569","CML 300","other"
"PI 595616","ZS01250","other"
"PI 596355","N216","other"
"PI 596356","N217","other"
"PI 596357","N218","other"
"PI 596499","OC12","other"
"PI 596501","OC14","other"
"PI 596502","OC15","other"
"PI 596504","OC17","popcorn"
"PI 596505","OC18","other"
"PI 596627","Mp710","other"
"PI 596629","Mp712","other"
"PI 597578","N546","other"
"PI 597925","B107","other"
"PI 597926","B108","other"
"PI 597927","B109","other"
"PI 600729","LP1 NR HT","other"
"PI 600751","Seagull Seventeen","other"
"PI 600772","FR19","other"
"PI 600791","LH38","other"
"PI 600944","LH39","other"
"PI 600954","LH119","other"
"PI 600955","LH51","other"
"PI 600956","MDF-13D","other"
"PI 600957","LH74","other"
"PI 600958","FAPW","other"
"PI 600959","LH145","other"
"PI 600981","PHG39","other"
"PI 601004","LH132","other"
"PI 601005","207","other"
"PI 601006","PHG50","other"
"PI 601007","BO9","other"
"PI 601008","PHG35","other"
"PI 601009","PHB47","other"
"PI 601026","F42","other"
"PI 601037","G80","other"
"PI 601079","LH123HT","other"
"PI 601080","CR1HT","other"
"PI 601150","PHG71","other"
"PI 601159","6103","other"
"PI 601170","LH82","other"
"PI 601171","LH93","other"
"PI 601172","HBA1","other"
"PI 601190","Q381","other"
"PI 601191","DJ7","other"
"PI 601208","IB014","other"
"PI 601209","MBNA","other"
"PI 601210","78004","other"
"PI 601211","78010","other"
"PI 601229","PHG83","other"
"PI 601269","5707","other"
"PI 601270","PHG29","other"
"PI 601300","4676A","other"
"PI 601301","78002A","other"
"PI 601316","LH54","other"
"PI 601317","LH57","other"
"PI 601318","PHG47","other"
"PI 601319","PHG72","other"
"PI 601320","PHG84","other"
"PI 601321","PHJ40","other"
"PI 601322","PHZ51","other"
"PI 601329","SX-6-10 (Tetraploid)","other"
"PI 601331","SX-6-3 (Tetraploid)","other"
"PI 601332","SX-6-7 (Tetraploid)","other"
"PI 601360","LH52","other"
"PI 601361","PHR36","other"
"PI 601362","PHW17","other"
"PI 601374","764","other"
"PI 601375","778","other"
"PI 601376","779","other"
"PI 601377","794","other"
"PI 601378","LP5","other"
"PI 601402","LH146Ht","other"
"PI 601403","LH156","other"
"PI 601404","LH60","other"
"PI 601405","LH85","other"
"PI 601416","LH61","other"
"PI 601417","NS701","other"
"PI 601430","807","other"
"PI 601438","78371A","other"
"PI 601439","FBHJ","other"
"PI 601440","MBPM","other"
"PI 601441","PB80","other"
"PI 601442","PHG86","other"
"PI 601457","IB02","other"
"PI 601458","IBB15","other"
"PI 601459","IBC2","other"
"PI 601466","LH59","other"
"PI 601467","PHK05","other"
"PI 601468","PHK29","other"
"PI 601469","PHR25","other"
"PI 601470","PHV78","other"
"PI 601489","740","other"
"PI 601490","787","other"
"PI 601491","790","other"
"PI 601492","793","other"
"PI 601493","LH149","other"
"PI 601494","LH65","other"
"PI 601495","PHK42","other"
"PI 601496","PHK76","other"
"PI 601497","PHN11","other"
"PI 601498","PHT55","other"
"PI 601499","PHT77","other"
"PI 601500","PHV63","other"
"PI 601501","PHW65","other"
"PI 601502","W8304","other"
"PI 601558","11430","other"
"PI 601560","2MA22","other"
"PI 601561","6M502","other"
"PI 601562","78551S","other"
"PI 601563","87916W","other"
"PI 601564","HB8229","other"
"PI 601565","IBB14","other"
"PI 601566","MBST","other"
"PI 601567","PHH93","other"
"PI 601569","PHN47","other"
"PI 601570","PHP02","other"
"PI 601571","PHR32","other"
"PI 601572","PHR47","other"
"PI 601573","PHT10","other"
"PI 601574","PHT60","other"
"PI 601575","PHW52","other"
"PI 601576","PHW79","other"
"PI 601583","NS501","other"
"PI 601584","OQ603","other"
"PI 601610","H8431","other"
"PI 601611","S8324","other"
"PI 601612","S8326","other"
"PI 601658","1538","other"
"PI 601683","CR14","other"
"PI 601684","WIL900","other"
"PI 601685","WIL901","other"
"PI 601686","WIL903","other"
"PI 601724","E8501","other"
"PI 601725","J8606","other"
"PI 601726","L 127","other"
"PI 601727","L 135","other"
"PI 601728","L 139","other"
"PI 601729","W8555","other"
"PI 601745","4N506","other"
"PI 601773","PHJ31","other"
"PI 601774","PHJ33","other"
"PI 601775","PHJ70","other"
"PI 601776","PHJ75","other"
"PI 601777","PHK35","other"
"PI 601778","PHM10","other"
"PI 601779","PHM57","other"
"PI 601780","PHN29","other"
"PI 601781","PHN37","other"
"PI 601782","PHN73","other"
"PI 601783","PHN82","other"
"PI 601784","PHP55","other"
"PI 601785","PHP60","other"
"PI 601786","PHR62","other"
"PI 601787","PHR63","other"
"PI 601788","PHT22","other"
"PI 601789","PHV37","other"
"PI 601790","PHW03","other"
"PI 601791","PHW20","other"
"PI 601792","PHW43","other"
"PI 601808","2FACC","other"
"PI 603939","B42","other"
"PI 604605","N522","other"
"PI 604606","N527","other"
"PI 606329","DE1","other"
"PI 606330","DE2","other"
"PI 606768","SD40","other"
"PI 606769","SD41","other"
"PI 607512","N7A","other"
"PI 607519","ND240","other"
"PI 607521","A661","other"
"PI 607522","A662","other"
"PI 607523","A663","other"
"PI 607524","A664","other"
"PI 607525","A665","other"
"PI 607527","ND300","other"
"PI 608764","B55","other"
"PI 608765","B77","other"
"PI 608766","B79","other"
"PI 608767","B84","other"
"PI 608768","B87","other"
"PI 608774","B75","other"
"PI 608777","B85","other"
"PI 608778","B86","other"
"PI 610493","NY5526","other"
"PI 610494","NY6371","other"
"PI 619430","Tx807","other"
"PI 631393","ND291","other"
"PI 631394","ND2000","other"
"PI 631444","T270","other"
"PI 633839","Tx114","other"
"PI 633840","Tx714","other"
"PI 633924","T272","other"
"PI 634206","Mo48","other"
"PI 634207","Mo49","other"
"PI 638549","N551","other"
"PI 638550","N552","other"
"PI 638594","T175","other"
"PI 639111","Oh605","other"
"PI 639931","TZSTRI107","other"
"PI 639936","TZSTRI112","other"
"PI 639937","TZSTRI113","other"
"PI 639938","TZSTRI114","other"
"PI 641068","TZEI 8","other"
"PI 641070","TZEI 10","other"
"PI 641071","TZEI 11","other"
"PI 641072","TZEI 12","other"
"PI 641226","Hi44","other"
"PI 641229","Hi47","other"
"PI 641238","Hi56","other"
"PI 641242","Hi60","other"
"PI 641243","Hi61","other"
"PI 641249","Hi67","other"
"PI 641253","TZEEI 3","other"
"PI 641254","TZEEI 4","other"
"PI 641256","TZEEI 6","other"
"PI 644101","LH1","other"
"PI 644102","P737M20","sweet corn"
