"Year","Tier","Range","Pass","Gen","Pedigree","Source","id"
2015,3,26,54,1362,"PHP85","PI 559944","2015_26_54"
2015,2,29,23,277,"MS226","Ames 24751","2015_29_23"
2015,3,23,62,1278,"Va30","Ames 19009","2015_23_62"
2015,3,8,67,827,"SD40","PI 606768","2015_8_67"
2015,3,23,56,1272,"LH1","PI 644101","2015_23_56"
2015,3,31,43,1503,"A302-1-2(S10) INBRED (SERVENTINA)","PI 221811","2015_31_43"
2015,3,39,68,1770,"Mo28W","Ames 28928","2015_39_68"
2015,3,32,68,1557,"Oh43 sh2","Ames 26766","2015_32_68"
2015,3,40,65,1798,"NO. 1266 INBRED","PI 303941","2015_40_65"
2015,3,25,52,1329,"B46","PI 550469","2015_25_52"
2015,2,38,32,556,"A622","Ames 23459","2015_38_32"
2015,2,22,25,71,"4664 INBRED","PI 415091","2015_22_25"
2015,3,3,49,658,"R216","NSL 29303","2015_3_49"
2015,2,39,17,572,"NIU 11","PI 391670","2015_39_17"
2015,2,37,21,516,"DA BA TANG INB. (JI 0241)","PI 405712","2015_37_21"
2015,3,2,59,642,"A669","Ames 23493","2015_2_59"
2015,3,19,62,1156,"MDF-13D","PI 600956","2015_19_62"
2015,2,34,25,429,"A427","Ames 23435","2015_34_25"
2015,2,40,26,611,"IBC2","PI 601459","2015_40_26"
2015,2,36,29,493,"5120B","NSL 30905","2015_36_29"
2015,2,37,5,501,"4F-342 CM 4","PI 198901","2015_37_5"
2015,3,32,37,1527,"AusTRCF 306312","NSL 437998","2015_32_37"
2015,3,4,49,688,"Ab18","PI 542937","2015_4_49"
2015,3,24,44,1292,"R76","NSL 30875","2015_24_44"
2015,3,12,67,949,"MS132","Ames 24730","2015_12_67"
2015,3,4,56,695,"A258","NSL 81596","2015_4_56"
2015,3,17,59,1093,"B91","PI 527700","2015_17_59"
2015,3,27,58,1396,"W22","NSL 30053","2015_27_58"
2015,3,5,68,738,"A15","Ames 23389","2015_5_68"
2015,3,26,68,1375,"H22w","Ames 26776","2015_26_68"
2015,2,36,27,491,"SD44","PI 524969","2015_36_27"
2015,2,37,3,499,"H99","PI 587129","2015_37_3"
2015,3,12,50,934,"NY6371","PI 610494","2015_12_50"
2015,3,24,64,1310,"CI 4A","Ames 28948","2015_24_64"
2015,3,23,63,1279,"Va37","Ames 19010","2015_23_63"
2015,3,19,64,1158,"G80","PI 601037","2015_19_64"
2015,2,21,25,40,"C49","Ames 28290","2015_21_25"
2015,3,37,45,1686,"Mo25W","Ames 20118","2015_37_45"
2015,3,6,43,744,"MS78","Ames 24718","2015_6_43"
2015,2,40,20,605,"LH54","PI 601316","2015_40_20"
2015,2,28,6,232,"PHJ40","PI 601321","2015_28_6"
2015,2,27,23,217,"ND265","PI 546494","2015_27_23"
2015,3,12,68,950,"CI 40H","Ames 26128","2015_12_68"
