"ID","Pedigree","Comments","INDV","F_MISS","acc_v2.7","id_v2.7"
"Ames 28990","AD 11 DS","popcorn","Ames28990:250041731",0.244182,"Ames28990",250041731
"Ames 28990","AD 11 DS","popcorn","Ames28990:250035123",0.239547,"Ames28990",250035123
"Ames 28994","AD 188L DS","popcorn","Ames28994:250034931",0.196509,"Ames28994",250034931
"Ames 28994","AD 188L DS","popcorn","Ames28994:250041430",0.222916,"Ames28994",250041430
"Ames 28997","AD 347 DS-2","popcorn","Ames28997:250041538",0.261685,"Ames28997",250041538
"Ames 28997","AD 347 DS-2","popcorn","Ames28997:250031034",0.263758,"Ames28997",250031034
"Ames 29000","AD 440 DS-2","popcorn","Ames29000:250041740",0.205919,"Ames29000",250041740
"Ames 29000","AD 440 DS-2","popcorn","Ames29000:250033726",0.19983,"Ames29000",250033726
"Ames 29009","AD SA9","popcorn","Ames29009:250041726",0.19204,"Ames29009",250041726
"Ames 29009","AD SA9","popcorn","Ames29009:250033795",0.175944,"Ames29009",250033795
"Ames 29010","AD SA10","popcorn","Ames29010:250041554",0.162281,"Ames29010",250041554
"Ames 29010","AD SA10","popcorn","Ames29010:250033808",0.163989,"Ames29010",250033808
"Ames 29020","AD SA20","popcorn","Ames29020:250041690",0.181423,"Ames29020",250041690
"Ames 29020","AD SA20","popcorn","Ames29020:250031295",0.166189,"Ames29020",250031295
"Ames 29024","AD Sg1501-2","popcorn","Ames29024:250031682",0.157957,"Ames29024",250031682
"Ames 29024","AD Sg1501-2","popcorn","Ames29024:250041661",0.156299,"Ames29024",250041661
"Ames 29026","AD Sg1501-4","popcorn","Ames29026:250033539",0.151335,"Ames29026",250033539
"Ames 29026","AD Sg1501-4","popcorn","Ames29026:250041721",0.150733,"Ames29026",250041721
"Ames 30534","MR20 (Shoe Peg) S7","other","Ames30534:250041585",0.143388,"Ames30534",250041585
"Ames 30534","MR20 (Shoe Peg) S7","other","Ames30534:250041583",0.332972,"Ames30534",250041583
"CIze 28","CI 28A","other","CIze28:250031289",0.196023,"CIze28",250031289
"CIze 28","CI 28A","other","CIze28:250031191",0.1679,"CIze28",250031191
"CIze 28","CI 28A","other","CIze28:250042571",0.205507,"CIze28",250042571
"CIze 28","CI 28A","other","CIze28:250042573",0.171731,"CIze28",250042573
"CIze 44","CI 44","other","CIze44:250031134",0.157987,"CIze44",250031134
"CIze 44","CI 44","other","CIze44:250042570",0.176371,"CIze44",250042570
"CIze 44","CI 44","other","CIze44:250042572",0.170314,"CIze44",250042572
"CIze 44","CI 44","other","CIze44:250031056",0.147349,"CIze44",250031056
"CIze 7","CI7","other","CIze7:250031321",0.224225,"CIze7",250031321
"CIze 7","CI7","other","CIze7:250041981",0.228593,"CIze7",250041981
"CIze 91","CI 91B","other","CIze91:250042486",0.233192,"CIze91",250042486
"CIze 91","CI 91B","other","CIze91:250034849",0.221518,"CIze91",250034849
"NSL 22632","K201","other","NSL22632:250042347",0.333503,"NSL22632",250042347
"NSL 22632","K201","other","NSL22632:250035014",0.254114,"NSL22632",250035014
"NSL 22984","J47","other","NSL22984:250033550",0.351641,"NSL22984",250033550
"NSL 22984","J47","other","NSL22984:250040787",0.142235,"NSL22984",250040787
"NSL 29282","R901","other","NSL29282:250031241",0.164034,"NSL29282",250031241
"NSL 29282","R901","other","NSL29282:250040762",0.140011,"NSL29282",250040762
