Accession,taxa,Pedigree_cleanformat,Comments_merged,Pop.structure,Visual Inspection,link,GRIN
Ames27026,Ames27026:250032509,CL19,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1645395,dent
Ames27029,Ames27029:250032586,CL27,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1645398,dent
Ames27106,F7:250048005,F7,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1645492,dent
Ames27135,Ames27135:250042559,MEF156-55-2,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1645581,flint/dent
Ames30523,Ames30523:250041423,MR02Assiniboine,other,landraces,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1842801,flint
Ames30531,Ames30531:250041672,MR14LongfellowFlint,other,landraces,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1842809,flint
Ames30533,Ames30533:250041576,MR19SantoDomingo,other,landraces,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1842811,floury
PI186182,PI186182:250032842,INBRED378,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1160614,flint
PI198889,PI198889:250034975,4F-182BS11,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1168577,flint
PI257516,PI257516:250035244,F39,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1196847,flint
PI257517,PI257517:250032591,FC46,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1196848,flint
PI340821,PI340821:250035177,G22T122,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1254126,flint
PI340823,PI340823:250035249,G14T133,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1254128,flint
PI340830,PI340830:250034707,T242,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1254135,flint/dent
PI340867,PI340867:250033818,R-53-2INBR.FR.YELPEARL,other,unclassified,YES,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1254168,popcorn
PI340876,PI340876:250031167,IADS53,popcorn or sweet corn,unclassified,YES,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1254177,unknown
PI391670,PI391670:250034835,NIU11,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1294114,flint
PI405706,PI405706:250035008,CHI-69INB.,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1305624,unknown
PI405707,PI405707:250035104,HUA94INBRED,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1305625,flint
PI415078,PI415078:250034626,4533.INBRED,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1313108,flint
PI415079,PI415079:250032263,4537.INBRED,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1313109,flint
PI415080,PI415080:250034557,4550.INBRED,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1313110,flint
PI415081,PI415081:250032270,4554.INBRED,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1313111,flint
PI415082,PI415082:250035229,4554INBRED,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1313112,flint
PI415083,PI415083:250032255,4562INBRED,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1313113,flint
PI415084,PI415084:250032207,4564INBRED,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1313114,flint
PI415085,PI415085:250032513,4566INBRED,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1313115,flint
PI508277,PI508277:250034860,SD42,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1403213,dent
PI553055,PI553055:250033661,OC2,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1448027,flint
PI553061,PI553061:250031406,OC8,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1448033,popcorn
PI553064,PI553064:250031389,OC11,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1448036,popcorn
PI596500,PI596500:250031637,OC13,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1067296,flint
PI596501,PI596501:250031262,OC14,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1080229,flint
PI596503,PI596503:250034676,OC16,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1080233,flint
PI596506,PI596506:250033690,OC19,popcorn,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1084084,flint
PI601467,PI601467:250035253,PHK05,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1177911,flint/dent
