GENOTYPE	d.T3	g.T3	a.T3	d.T	g.T	a.T	Total.Tocotrienols	Total.Tocopherols	Total.Tocochromanols
PI564852	-1.08421502642377	4.08437759113919	3.76633210829847	1.29810284338337	7.92597077864914	3.03288995613095	3.38669042205301	8.38766345652948	9.98979166499482
PI568158	-0.99457552017709	3.49649197296376	2.42074052616136	1.71447132755261	6.51958246469818	2.94324898878773	2.8236127632569	7.12092195014101	8.22022123911516
PI568159	-0.941807082643682	3.59581738927327	3.11459267738175	1.96954602637258	7.30980732947182	3.62656333392925	3.05771410288867	8.17075487393913	9.39894391354688
PI572413	0.219847629727062	3.62626744421864	2.68390753827325	0.856547552678776	4.95772404274381	1.64155125475874	2.99084155345561	4.97485621299752	6.74407226829606
PI573098	0.391627270670222	5.7411770393361	2.69779958262285	1.61147961885964	6.83197094139019	1.46760081800195	3.68865836717602	6.90552161968957	9.37947679404347
PI583350	-1.11889069578956	2.21647821126218	3.60346199924462	1.08585204470959	5.33934251888751	NA	2.78483173353502	6.53902461916149	7.69047055517411
PI583352	-0.370479666453513	5.21152645268159	2.55474021634295	1.80749234521201	7.45515900058476	1.7631701335946	3.45918228719706	7.67769104223399	9.51786784526871
PI583774	-0.47748619716412	5.03209327387718	2.53042877927833	1.63120181032268	9.90322932855743	1.74849169743525	3.41986466731623	10.0358394965244	11.4687587078986
PI583846	-0.489150419138288	3.82655940199548	2.73054972505538	1.25872857360116	5.04714948005307	2.50602362119753	3.03056073709744	5.43356611076004	7.14195328814184
PI583847	0.552613440625659	5.82406226331759	3.17642036733176	2.68621261630572	7.10424807801642	2.68858170974958	3.78434261267096	7.83085011540893	10.2750922185643
PI584528	0.789777519933669	5.4033979778469	2.2876123310124	1.51445993212102	5.41156008042043	2.58797459917983	3.54858218275078	5.88486089555225	8.37254835519031
PI584529	0.540586321547589	5.52346547441006	3.02754551146634	1.44831962287335	7.54392789427365	3.03505162180151	3.68109415088368	8.05256827788501	10.2760323763601
PI587124	-0.163763906513088	4.5561392918786	3.08893852933334	0.350721278225317	1.68503005284772	2.59664656990511	3.38405250156492	2.54623242556527	6.04072305523105
PI587125	0.127601803180009	4.66886416454795	2.08989935714618	1.29602625166314	7.08140416400589	2.73033202284997	3.2630818346008	7.48570898312244	9.08321249723907
PI587127	-0.58529466571295	3.10997894767794	3.58176049031758	1.06455789368169	5.84536216705176	3.30962103918258	3.06389859127281	6.55412137055761	8.06767761998458
PI587128	-1.32587559578456	3.15524738348675	2.32351746905419	0.985821347405299	6.73771412453808	3.51105205102402	2.63041619157364	7.43286478620458	8.39065391253864
PI587129	-1.08890157562991	2.81452751327821	2.74982441184887	1.78424428820719	9.80070487332416	4.06071393907525	2.66090017886435	10.6081125418238	11.2634916078452
PI587137	-1.09903955393291	3.38181136079469	2.74942069934741	1.20967141819587	6.77908440381148	3.02111934355464	2.8864561089613	7.32660761471501	8.470481466245
PI587138	0.27143386257799	3.67554344240413	2.78794703249542	1.58793072204048	7.38671619422325	1.72543419781804	3.03983593463149	7.53740992450324	8.83586742600861
PI587139	1.22134977297177	6.892230294832	2.68491607801808	2.09576594375422	8.82454306431783	2.65769975185309	4.03516436819656	9.26820209911286	11.9423177231223
PI587140	-1.41528811095362	3.21890846421578	2.91189314020965	0.763722974644602	4.47552808213735	3.00610592727535	2.86410255274774	5.18193972369421	6.65407155582204
PI587141	-2.14898730884258	1.60623208223469	1.75104241867523	1.02788305122713	6.57580374509459	3.14780547556548	1.41305860420613	7.13170751082796	7.43919674360075
PI587142	0.510251601246583	5.98642282895219	2.61875717641021	1.25356686618624	4.56360333661899	2.53083001780048	3.75845517994162	5.07366509537238	8.30923938877681
PI587143	-0.768061872178177	3.17402872435018	2.60817149186935	1.60197688372835	6.78437923129302	3.35869761514787	2.76400885080921	7.52339653946274	8.53721449888662
PI587144	-0.312293746217787	3.08864026458246	3.98888453204652	1.07078613737758	4.87197319512331	3.46861148083783	3.19864928951169	5.7758173793845	7.61072615326553
PI587145	-0.551928506690034	7.25919840870877	3.30041521024249	1.26936082892139	8.40771803606662	4.12358735508295	4.14095918558609	9.26125505587661	12.1682811111512
PI587147	-1.28163719715589	3.29785496694442	2.9865756399261	1.46340285123407	6.7268769398585	3.18570081081071	2.90015615749175	7.34271325396818	8.53630997094178
PI587149	-0.793131544763777	5.52205097196685	3.10848113409105	0.952929731407306	6.72520164708836	3.65899185363947	3.65910696207485	7.50201244333812	9.75043701328305
PI587150	-1.28999959345404	4.25555666946171	2.39892290622271	1.08783694917943	5.22111913233169	1.5881587914941	3.09926420376804	5.25355545226278	7.12567735025941
PI587151	-0.982000354483443	3.76005043543301	2.50102786090039	0.798982806448299	4.00459159640531	1.61591049411779	2.93379365188024	4.03066060962716	5.98985325529766
PI587152	-2.03768452458946	2.58199678621024	2.13768787478434	1.40081783540902	7.49448772792377	1.67569450109499	2.2784039871293	7.58984548854586	8.22839807921323
PI587153	0.288036247974225	4.88436033857045	2.87203996768847	1.19872894392352	7.06114477645091	3.30388540176562	3.45209677698165	7.67933146569413	9.54905222207942
PI587154	-2.66239253809558	2.56430180751018	2.63503984334203	0.95716174756412	6.63743510130231	3.9253907671721	2.47617895148995	7.55580303144543	8.31773760526262
PI587155	-0.247253358456174	4.55999163124232	1.82927542048758	1.23813779685462	6.34871596183039	2.11101166079205	3.15224990166203	6.55592648448715	8.18492308393915
PI591014	-0.140238948924696	4.52805551500862	2.52605333692699	1.96898549842298	9.79000954310056	3.86781269518057	3.27232425767575	10.5603683884607	11.7513595170942
PI592733	-1.2885873614391	3.01583695796043	2.10532818344314	2.00326017256871	8.27786153266651	1.99561716969964	2.49547074274572	8.56146419895569	9.28059167294844
PI592734	0.0929054398243337	5.72960810850096	3.66598663936463	2.01301403646373	6.93772004580756	2.98911562305643	3.81880138853709	7.60125610211891	10.2255140946556
PI592735	0.169685544257487	5.81983480925361	2.67414352718772	1.37553345070194	6.21337038683515	2.51445979784923	3.70606152992913	6.62260993566736	9.21531748232257
PI592741	0.990222643530137	6.23232209990787	4.40710127975294	1.59569686939594	6.56516174469449	NA	4.07913808000062	8.11211899012829	11.198023834588
PI593007	-0.869071446126515	3.66384814191309	3.19905328339495	0.889585937388851	4.26949706803975	2.74466448423118	3.10205938935335	4.79081154607442	6.8013704574887
PI593010	0.24952860876513	4.95161342261288	2.56939807211728	1.00593924021285	5.2619634447609	1.67730474601368	3.41013306757416	5.31060591929019	7.646133750465
PI593011	0.0586857514214149	4.61896445071836	2.66173888802039	1.27690575768144	6.90389597285475	2.69322899379165	3.33487800106862	7.31194953962348	9.02616302367734
PI593013	-1.49871108670859	3.05487213153022	3.01904362075145	0.839179287756794	4.28335794021466	2.98935665620548	2.83237821955445	4.97749842491185	6.5114948905762
PI593014	-0.556046250321849	4.84165943938646	2.32112495635198	1.25591450943127	6.32596292306555	2.6166580355484	3.31430506558449	6.73424151111319	8.56255662754998
PI593017	-1.45870074917393	3.91427604123674	2.87579635318637	0.7442299832713	3.50924108661688	1.82319296373149	3.09853838985991	3.55045135863034	5.93797288558983
PI593460	-0.214099507252504	5.23744648917772	3.11457540749939	1.16519804368185	6.07793381619116	3.5848767935593	3.58773125418414	6.93641496523961	9.21362794614586
PI594045	0.153787146042573	5.01731979815917	2.91526772166811	1.08665929205064	6.36996291857339	3.17376701507845	3.4818078853398	6.93292005002221	9.00785053439498
PI594046	-0.372398795447496	3.13407799200977	3.15532241854933	2.56944243621063	8.00407474128022	1.76352755493074	2.93365057621841	8.39163590070494	9.49264679475646
PI594047	-1.37208777819978	3.17457752795549	3.94916522191716	1.01101269675509	5.65959884921184	3.44363112063415	3.27814037038828	6.42935601829608	8.25469330926352
PI594048	-0.748098475174589	5.8086249583701	2.72468415619132	1.50154968349369	7.21467457020758	1.96397537942816	3.68819294527066	7.43728451990375	9.76116973113366
PI594049	-0.608733751650256	4.88055570678176	2.55849749423368	1.1677834854972	5.35754266002614	2.51049293526192	3.37079781501058	5.72654151735583	7.87534118181555
PI594050	-0.288848415031591	4.78971639421375	3.11957936956251	1.07528289487	5.40111117030561	2.93444026400266	3.45421989868209	5.96450150557446	8.25799661237518
PI594051	0.346241568775444	4.58467126378762	3.29690675633995	0.898709707858995	4.11237738710834	3.41467086671615	3.44498110433242	5.08758937808467	7.60182170075042
PI594052	-1.76489152487619	3.54199371922086	3.09211848479323	1.03243980163494	5.32455689085956	3.18616145306543	3.03874798571523	6.01129858516444	7.55828863235587
PI594053	-1.13802694894792	3.31886911251408	2.47366434727915	1.06957217942503	6.31664892201553	4.11865572790443	2.75296314936854	7.40476363160905	8.45329788307498
PI594054	-0.398416366956239	3.62129492681831	2.01812997401059	1.01534958708811	5.14071248602759	1.74168915768572	2.76143449512549	5.20549971952742	6.6048192700482
PI594055	-1.00552266793575	2.77782430815918	3.23078834651854	1.8712157430398	7.58340915710078	4.49601571004817	2.81623935638422	8.81975387581763	9.78550544121253
PI594056	0.332753558758534	5.69145622112654	1.80658286856706	1.37488142106874	6.31645807426915	1.79738513930654	3.55725787663095	6.44671078302726	8.80193148178285
PI594057	-0.672145484199199	3.28851931148351	1.6321581969895	1.09235166544479	5.32259297091183	1.55095450158926	2.5037322329385	5.34495641797012	6.40195796377952
PI594058	-0.0744336227105707	6.25401802020109	1.86537120434513	0.949026762530963	4.46513786282126	1.65450351163121	3.72619448530055	4.45385449021407	7.89443115113432
PI594059	-0.380015322245838	4.78338298874343	2.39101987486512	0.885947973077426	4.64252234286492	3.04615985545736	3.30603296460059	5.28849009453549	7.50840773000508
PI594060	-0.572054204804084	4.10619081351561	3.0103097109766	1.1159513457136	5.63623153303695	3.63958733443779	3.20976302797353	6.55126168611818	8.2616867309285
PI594061	-0.510097152498959	4.04024473355266	1.80987591397864	1.11183946323199	5.44203947376349	1.68839167049592	2.90426219092952	5.46638751096188	7.04901275286121
PI594062	0.309485664863684	5.85750270909028	2.60145814880809	1.56157303191365	9.33350030342315	3.68258024556153	3.71019462688724	9.97850164954639	11.8708078073904
PI594063	0.320557094225883	5.88407880020314	2.64372436554948	1.46827270798037	8.72685391902489	3.79277175624898	3.72179888031224	9.43274379753844	11.4492078284919
PI594064	-1.19803558786245	3.50560152142254	3.19105283253035	1.44255939877705	5.99855198810513	3.43237206986655	3.0410384867605	6.82119410000918	8.2847010833222
PI594065	0.599942863569242	7.43263875665971	2.75850632371941	1.40762829823786	7.150672589624	2.70578892377066	4.14155855218292	7.54451491018475	10.9942804903277
PI594066	-0.717102972919026	4.27628480541229	2.94928238237711	1.13191582814271	5.36219996307486	3.30642899591085	3.24468603086469	6.13262116961418	8.00590041282053
PI594067	-0.61212941425677	3.88591659804994	2.87486089993933	0.706157266478226	2.88623074077593	4.12096262480018	3.07717415746223	4.72949798393022	6.742491669257
PI594068	1.73813151655779	6.20688715355773	1.81863331735675	1.60354619671527	6.84798113709435	3.16227766016838e-05	3.85682573686154	6.77386905099294	9.62123458190268
