"Plate.Number","Envelope","PedId","RecId","Source","Gen","Pedigree","ID","Year","Tier","Plot","Range","Pass","New_Block_Pass","New_Block_Range","Comments","Event.Name","Seed.Packaged.","Grind.Tube","Position.in.plate","HPLC.Datafile","d.Tocotrienol","g.Tocotrienol","a.Tocotrienol","d.Tocopherol","g.Tocopherol","a.Tocopherol","Total.Tocotrienols","Total.Tocopherols","Total.Tocochromanols"
"Ames17-Toc-10L","Ames17-EN-2224",3883522,3883268,"17SJMY:2224",1516,"T264","PI 542953",2017,4,2224,5,105,3,2,"0","0","Yes","Ames17-GT-1177","C12","Ames17-CT-10H_Ames17-EN-2224_T264_48.lcd",0.2204333,4.500423831,9.074337387,9.750521931,51.17549482,2.608488633,13.79519452,63.53450538,77.3296999
"Ames17-Toc-18H","Ames17-EN-2257",3883554,3883300,"17SJMY:2257",1593,"CI90A","CIze 90",2017,4,2257,6,105,3,2,"0","0","Yes","Ames17-GT-0305","G12","Ames17-CT-18H_Ames17-EN-2257_CI90A_102.lcd",0.920308297,17.65951638,10.28453533,1.379692557,34.08379553,6.199080974,28.86436001,41.66256906,70.52692907
"Ames17-Toc-12H","Ames17-EN-2304",3883600,3883346,"17SJMY:2304",1808,"SC 359","NSL 53095",2017,4,2304,7,105,3,2,"0","0","Yes","Ames17-GT-1396","F01","Ames17-CT-12H_Ames17-EN-2304_SC 359_77.lcd",0.216196655,5.717065087,8.410355835,0.580519513,38.87892958,3.257128926,14.34361758,42.71657802,57.0601956
"Ames17-Toc-13H","Ames17-EN-2337",3883632,3883378,"17SJMY:2337",1713,"Mo303ae","NSL 67788",2017,4,2337,8,105,3,3,"0","0","Yes","Ames17-GT-1215","A08","Ames17-CT-13H_Ames17-EN-2337_Mo303ae_17.lcd",1.007618975,7.768097658,16.09434639,0.520032597,30.50467731,22.42950156,24.87006302,53.45421146,78.32427449
"Ames17-Toc-14H","Ames17-EN-2384",3883676,3883422,"17SJMY:2384",990,"NC334","Ames 27163",2017,4,2384,9,105,3,3,"0","0","Yes","Ames17-GT-0078","H05","Ames17-CT-14H_Ames17-EN-2384_NC334_108.lcd",0.123451798,2.481118483,4.30087202,4.686917104,39.0131484,6.069616086,6.905442302,49.76968159,56.67512389
"Ames17-Toc-06H","Ames17-EN-2418",3883709,3883455,"17SJMY:2418",1766,"Hi67","PI 641249",2017,4,2418,10,106,3,3,"0","0","Yes","Ames17-GT-0829","D05","Ames17-CT-06H_Hi67_Ames17-EN-2418_54.lcd",0.210673952,3.910610658,6.49064568,0.655235759,24.69048799,1.1362327,10.61193029,26.48195645,37.09388674
"Ames17-Toc-05H","Ames17-EN-2098",3882383,3880913,"17SJMY:2098",1044,"N540","PI 594086",2017,4,2098,2,106,3,1,"0","0","Yes","Ames17-GT-1459","A05","Ames17-CT-05H_Ames17-EN-2098_N540_14.lcd",1.378173975,30.69968547,9.730810353,1.656461745,66.01263483,10.78536916,41.80866979,78.45446573,120.2631355
"Ames17-Toc-18H","Ames17-EN-2178",3883177,3883223,"17SJMY:2178",1270,"PHM57","PI 601779",2017,4,2178,4,106,3,1,"0","0","Yes","Ames17-GT-0385","A03","Ames17-CT-18H_Ames17-EN-2178_PHM57_12.lcd",0.290833213,5.898787906,14.31251656,1.461682317,37.92094055,18.08930315,20.50213768,57.47192601,77.9740637
"Ames17-Toc-10L","Ames17-EN-2223",3883521,3883267,"17SJMY:2223",1737,"T61","PI 550514",2017,4,2223,5,106,3,2,"0","0","Yes","Ames17-GT-1462","B01","Ames17-CT-10H_Ames17-EN-2223_T61_23.lcd",3.682632656,30.95995475,7.432829294,1.120453736,22.61414814,4.060640064,42.0754167,27.79524194,69.87065864
"Ames17-Toc-19H","Ames17-EN-2258",3883555,3883301,"17SJMY:2258",1594,"CI 91B","CIze 91",2017,4,2258,6,106,3,2,"0","0","Yes","Ames17-GT-0244","B06","Ames17-CT-19H_Ames17-EN-2258_CI 91B_28.lcd",1.661241691,30.29713275,17.88123036,3.942401428,46.75099272,9.815207895,49.8396048,60.50860204,110.3482068
"Ames17-Toc-12H","Ames17-EN-2303",3883599,3883345,"17SJMY:2303",1810,"SC 357","NSL 68252",2017,4,2303,7,106,3,2,"0","0","Yes","Ames17-GT-1733","H11","Ames17-CT-12H_Ames17-EN-2303_SC 357_114.lcd",0.092773985,1.27567441,4.514320392,0.630055898,41.47939879,7.644858319,5.882768786,49.754313,55.63708179
"Ames17-Toc-13H","Ames17-EN-2338",3883633,3883379,"17SJMY:2338",1601,"Mo308ae","NSL 67793",2017,4,2338,8,106,3,3,"0","0","Yes","Ames17-GT-1184","A11","Ames17-CT-13H_Ames17-EN-2338_Mo308ae_20.lcd",0.947626892,6.649405744,14.85105071,0.262168536,24.28106502,15.31244535,22.44808334,39.85567891,62.30376225
"Ames17-Toc-14H","Ames17-EN-2383",3883675,3883421,"17SJMY:2383",21,"Hi27 Goodman-Buckler","Ames 28291",2017,4,2383,9,106,3,3,"0","0","Yes","Ames17-GT-0853","F08","Ames17-CT-14H_Ames17-EN-2383_Hi27 Goodman-Buckler_84.lcd",0.296364946,5.940504659,11.90867928,1.437938994,36.72810942,11.35895853,18.14554889,49.52500695,67.67055584
"Ames17-Toc-05H","Ames17-EN-2099",3882384,3880914,"17SJMY:2099",1129,"LH123HT","PI 601079",2017,4,2099,2,107,3,1,"0","0","Yes","Ames17-GT-1888","C11","Ames17-CT-05H_Ames17-EN-2099_LH123HT_47.lcd",0.857293932,24.70002362,4.817647834,0.438152779,12.55201402,4.629119586,30.37496538,17.61928639,47.99425177
"Ames17-Toc-18H","Ames17-EN-2142",3883145,3882791,"17SJMY:2142",898,"R941","NSL 29287",2017,4,2142,3,107,3,1,"0","0","Yes","Ames17-GT-0708","B02","Ames17-CT-18H_Ames17-EN-2142_R941_24.lcd",1.040777698,11.52772586,3.605144875,2.186276451,38.03416089,0.687033755,16.17364843,40.90747109,57.08111952
"Ames17-Toc-17H","Ames17-EN-2179",3883178,3883224,"17SJMY:2179",1648,"TZEEI 3","PI 641253",2017,4,2179,4,107,3,1,"0","0","Yes","Ames17-GT-0059","H09","Ames17-CT-17H_Ames17-EN-2179_TZEEI 3_112.lcd",1.313480073,13.67465688,20.71378535,2.055143633,66.14951241,12.40823676,35.7019223,80.6128928,116.3148151
"Ames17-Toc-10L","Ames17-EN-2222",3883520,3883266,"17SJMY:2222",726,"B88","PI 550556",2017,4,2222,5,107,3,2,"0","0","Yes","Ames17-GT-1702","C01","Ames17-CT-10H_Ames17-EN-2222_B88_37.lcd",0.615297563,7.991004129,10.59863324,0.636953187,31.26608266,18.05222138,19.20493493,49.95525723,69.16019216
"Ames17-Toc-18H","Ames17-EN-2259",3883556,3883302,"17SJMY:2259",1595,"CI 127","CIze 127",2017,4,2259,6,107,3,2,"0","0","Yes","Ames17-GT-0549","C06","Ames17-CT-18H_Ames17-EN-2259_CI 127_42.lcd",0.136278532,3.467055567,9.223016435,0.40621858,19.3451481,9.832764082,12.82635053,29.58413076,42.4104813
"Ames17-Toc-12H","Ames17-EN-2302",3883598,3883344,"17SJMY:2302",1791,"AusTRCF 305816","NSL 437890",2017,4,2302,7,107,3,2,"0","0","Yes","Ames17-GT-1727","G03","Ames17-CT-12H_Ames17-EN-2302_AusTRCF 305816_93.lcd",0.260115887,9.877082828,13.78301648,0.341972977,24.50524813,7.623111884,23.9202152,32.47033299,56.39054819
"Ames17-Toc-12H","Ames17-EN-2339",3883634,3883380,"17SJMY:2339",1682,"AusTRCF 305821","NSL 437895",2017,4,2339,8,107,3,3,"0","0","Yes","Ames17-GT-1381","F02","Ames17-CT-12H_Ames17-EN-2339_AusTRCF 305821_78.lcd",1.635095009,6.808177619,7.201261669,1.400959485,24.97654397,5.694288293,15.6445343,32.07179175,47.71632604
"Ames17-Toc-15H","Ames17-EN-2382",3883674,3883420,"17SJMY:2382",1702,"Mo403","Ames 28362",2017,4,2382,9,107,3,3,"0","0","Yes","Ames17-GT-0085","A04","Ames17-CT-15H_Ames17-EN-2382_Mo403_13.lcd",0.450833403,20.23490604,4.74171497,4.417154163,76.53504415,3.942118983,25.42745441,84.89431729,110.3217717
"Ames17-Toc-06H","Ames17-EN-2420",3883710,3883456,"17SJMY:2420",1772,"SC144","Ames 10274",2017,4,2420,10,108,3,3,"0","0","Yes","Ames17-GT-0827","B06","Ames17-CT-06H_SC144_Ames17-EN-2420_28.lcd",3.060245723,19.44931064,12.86762853,3.171640174,50.95976811,13.37037377,35.3771849,67.50178206,102.878967
