ID	Tier	Range	Pass	Year	check	is.experimental	plate	d.T3	g.T3	a.T3	d.T	g.T	a.T	Total.Tocotrienols	Total.Tocopherols	Total.Tocochromanols
PI 405714	2	30	14	2015	99	1	9	0.936706728	11.99667318	6.27545998	0.581601321	20.47830975	5.141475205	19.20883989	26.20138627	46.23206262
PI 601683	2	31	14	2015	99	1	2	0.508468465	19.1697947	6.242130396	0.056742863	6.361533092	3.975545379	32.16252396	10.39382133	43.81469762
Ames 23449	2	32	14	2015	99	1	5	1.230069319	19.53683345	5.116219443	0.219169152	14.30433605	1.260476823	25.88312221	15.78398202	42.74344773
NSL 32738	2	33	14	2015	99	1	13	0.77077752	9.833710948	4.132439387	1.290404626	40.5284232	6.068791873	14.73692786	47.8876197	63.27951897
PI 550565	2	34	14	2015	99	1	5	1.324222591	17.77933444	5.506379622	0.324533193	17.06893799	4.130331815	24.60993665	21.523803	47.29893477
Ames 28986	2	36	14	2015	99	1	19	0.147307024	12.60837319	5.13870225	1.42295124	36.65982241	0.660202218	17.89438246	38.74297587	57.6858028
PI 303939	2	37	14	2015	99	1	8	0.432306322	12.59210279	4.610793879	0.771556994	35.92417317	7.133425461	20.96485013	43.82915563	65.4534098
PI 601319	2	38	14	2015	99	1	12	0.071476007	10.42089197	6.48765784	1.631507472	51.68002223	1.200526907	16.98002582	54.51205661	72.23346944
Ames 26778	2	39	14	2015	99	1	2	1.160751049	12.13610947	10.16363352	0.113608996	12.54042621	20.51839354	33.62412757	33.17242875	67.81566915
PI 358532	2	40	14	2015	99	1	8	1.101073149	13.03655645	6.874472718	0.204179297	6.817743626	1.004422134	24.40734036	8.026345058	33.08001498
PI 600944	2	41	14	2015	99	1	18	0.592644519	32.62711994	11.7007849	1.948116035	66.46594384	10.03771517	35.66629221	78.45177505	115.0596945
Ames 22039	2	21	15	2015	99	1	2	0.518800305	26.98263447	6.724833625	2.701505084	52.78695138	9.651841892	40.95110202	65.14029835	107.0386364
Ames 27038	2	22	15	2015	99	1	1	1.616159975	28.30723925	9.229973446	1.349807253	32.89283615	4.156032724	39.15337268	38.39867612	78.25228347
PI 340817	2	23	15	2015	99	1	6	2.367109779	21.60532977	4.711850946	0.214931333	12.31204396	0.559698061	28.68429049	13.08667335	42.86882306
PI 587124	2	24	15	2015	99	1	21	0.791392246	19.69920751	8.572636915	0.038022342	4.219582286	4.988614447	29.06323667	9.246219074	39.38129969
Ames 23442	2	25	15	2015	99	1	1	0.780015335	30.21246825	9.73177306	1.930418542	52.51556164	3.536185813	40.72425664	57.98216599	99.9236719
NSL 30059	2	26	15	2015	99	1	2	0.138154867	7.19889445	5.478302632	0.354128033	27.63219364	8.847167667	18.29365458	36.83348934	56.86539185
PI 535914	2	27	15	2015	99	1	10	0.314542303	12.49678984	4.317774812	0.73128176	38.17857016	2.48328718	17.12910696	41.39313911	59.32326281
Ames 22015	2	28	15	2015	99	1	6	0.778113636	16.42399454	13.98928618	2.565328853	47.57281657	9.681346848	31.19139435	59.81949227	92.49061468
Ames 23505	2	29	15	2015	99	1	10	0.349530945	8.71742264	3.333893426	3.447462626	57.86758221	0.823074992	12.40084701	62.13811983	75.23808344
14SJMY:Breed:0001	2	30	15	2015	1	0	8	1.739727352	39.94642448	7.804052446	3.261413798	30.3759944	2.078583118	53.10134994	35.71599131	89.63680323
PI 601726	2	31	15	2015	99	1	2	0.20058194	11.16401362	4.765371104	1.792497728	63.44086704	0.586424717	20.89533777	65.81978949	88.23666779
14SJMY:Breed:0001	2	32	15	2015	1	0	14	2.555191517	52.71311581	9.170237892	5.789241539	43.2923393	3.238378662	64.43854522	52.3199595	117.4750666
NSL 34374	2	33	15	2015	99	1	5	1.372084254	14.79675691	5.199690393	11.44548133	151.9868646	1.603622225	21.36853155	165.0359681	187.4035993
PI 550566	2	34	15	2015	99	1	13	2.571346775	16.66275952	6.04400145	9.520043784	55.02222822	4.294613477	25.27810774	68.83688548	94.78111126
Ames 22442	2	35	15	2015	99	1	6	2.451709064	30.32999717	5.892400378	3.746902185	60.67757892	0.947361759	38.67410661	65.37184287	105.2426852
Ames 28988	2	36	15	2015	99	1	18	0.060464096	4.275707317	2.874127241	2.610265186	42.50909106	0.594345671	4.937125291	45.71370192	51.64935312
PI 340835	2	37	15	2015	99	1	12	0.135549098	2.311109726	1.935165452	3.954673676	23.53458483	2.694542327	4.381824276	30.18380084	35.32976781
PI 601377	2	38	15	2015	99	1	3	1.290242327	39.22752385	10.86265052	2.644744396	36.9643664	14.89152026	51.3804167	54.50063105	106.6713532
Ames 26801	2	39	15	2015	99	1	8	0.494387589	8.574176565	5.144991757	1.021990133	28.38759802	5.831595525	17.58059104	35.24118368	53.56439583
PI 391660	2	40	15	2015	99	1	16	0.143929928	14.77772926	4.63068698	1.147155353	47.00962028	0.872214709	19.55234617	49.02899035	69.53020836
PI 600957	2	41	15	2015	99	1	14	0.717004868	36.18936145	11.44865424	1.555601063	39.5345376	4.062630486	48.35502056	45.15276915	94.20453174
Ames 22040	2	21	16	2015	99	1	1	0.389180194	18.8561197	6.308168165	2.58668479	52.95079078	11.28603862	25.55346806	66.82351419	93.49763159
Ames 27039	2	22	16	2015	99	1	21	0.152405795	8.449534956	6.508845528	1.474524753	39.83383503	8.814226647	15.11078628	50.12258643	66.2810721
PI 340818	2	23	16	2015	99	1	1	1.454401149	18.1105525	4.097558193	1.769250863	31.58917487	2.382598964	23.66251184	35.7410247	60.19215816
PI 587134	2	24	16	2015	99	1	4	0.547823737	36.55867761	9.395602227	2.145320075	66.78696835	1.635762518	46.50210357	70.56805094	118.0267933
Ames 23446	2	25	16	2015	99	1	5	3.511035656	30.84903399	6.138040248	1.51784281	49.02502729	6.022233043	40.49810989	56.56510314	98.06630975
NSL 30062	2	26	16	2015	99	1	15	1.682304557	31.39524392	5.05854785	1.722244107	52.61194248	2.53125049	38.13609632	56.86543707	96.63261791
PI 535916	2	27	16	2015	99	1	1	0.15671264	3.900891972	6.914149899	1.143174369	44.78558423	11.29514209	10.97175451	57.22390068	69.29361803
Ames 22018	2	28	16	2015	99	1	17	1.299876057	37.21280432	6.099680959	7.722333742	81.19330193	1.990487878	44.61236134	90.90612355	136.7635342
Ames 24585	2	29	16	2015	99	1	19	3.753192591	25.53134662	4.299655108	0.936199819	29.08518228	1.746332521	33.58419432	31.76771462	66.46246747
PI 406109	2	30	16	2015	99	1	2	0.261603422	3.413383753	4.802192871	0.194058686	12.46168448	2.448469395	13.27937292	15.10421256	29.91436724
14SJMY:Breed:0001	2	31	16	2015	1	0	6	3.001309313	53.20366348	12.71817553	3.945453323	43.08503781	4.898160679	68.92314832	51.92865181	121.8842026
Ames 23450	2	32	16	2015	99	1	21	0.213098751	9.853539283	3.126394601	2.10387567	43.0201427	1.588354456	13.19303263	46.71237282	60.89494447
NSL 42874	2	33	16	2015	99	1	17	0.395733556	7.216611766	11.43591144	1.171141593	30.95689157	13.12916143	19.04825676	45.25719459	65.3191984
PI 550567	2	34	16	2015	99	1	9	0.725616665	16.50000626	5.690294736	0.744101002	30.13762363	1.567207505	22.91591766	32.44893214	56.13572141
Ames 22757	2	35	16	2015	99	1	8	0.767355802	29.30661293	4.972253196	1.276406279	27.26874026	1.172620084	38.43712197	29.71776663	68.89966562
Ames 28990	2	36	16	2015	99	1	13	0.124833802	4.061007242	3.01261676	1.312330565	40.2108039	0.541146519	7.198457803	42.06428099	49.85719607
PI 340845	2	37	16	2015	99	1	2	0.096293672	9.115310213	3.817997106	0.884976033	27.03378627	2.447966415	16.8475981	30.36672871	48.80558615
PI 601458	2	38	16	2015	99	1	18	0.13418554	8.478711492	3.911514085	4.828563746	52.49528836	0.909062288	9.430759068	58.23291439	68.70152442
Ames 26802	2	39	16	2015	99	1	21	0.931216941	14.75434254	10.8621505	1.362744263	39.15551156	8.311691667	26.54770999	48.82994749	76.45505029
PI 391667	2	40	16	2015	99	1	12	0.942363798	11.87993634	6.196549655	0.173844616	11.99777024	0.547542206	19.01884979	12.71915706	32.52239738
PI 601150	2	41	16	2015	99	1	19	0.213974653	21.07252042	7.366235318	2.000327467	54.89837256	0.764754603	28.65273039	57.66345463	87.39806521
